scientificName,nameJa,author,source,photoUrl,licenseCode,licenseUrl,credit
Acanthaster planci,オニヒトデ,no rights reserved,iNaturalist,https://www.inaturalist.org/photos/623563336,cc0,https://creativecommons.org/publicdomain/zero/1.0/,"Acanthaster planci [Acanthaster planci] — no rights reserved / iNaturalist, CC0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/623563336. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Acer saccharum,サトウカエデ,James St. John,iNaturalist,https://www.inaturalist.org/photos/270771956,cc-by,https://creativecommons.org/licenses/by/4.0/,"Acer saccharum [Acer saccharum] — James St. John / iNaturalist, CC-BY (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/270771956. Original attribution: (c) James St. John, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Acetabularia acetabulum,カサノリ,Bernard Picton,iNaturalist,https://www.inaturalist.org/photos/115808000,cc-by,https://creativecommons.org/licenses/by/4.0/,"Acetabularia acetabulum [Acetabularia acetabulum] — Bernard Picton / iNaturalist, CC-BY (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/115808000. Original attribution: (c) Bernard Picton, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Acinonyx jubatus,チーター,موسی مزینانیان Mousa Mazinanian,iNaturalist,https://www.inaturalist.org/photos/350833012,cc-by,https://creativecommons.org/licenses/by/4.0/,"Acinonyx jubatus [Acinonyx jubatus] — موسی مزینانیان Mousa Mazinanian / iNaturalist, CC-BY (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/350833012. Original attribution: (c) موسی مزینانیان Mousa Mazinanian, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Acropora palmata,エルクホーンサンゴ,Ryan McMinds,iNaturalist,https://www.inaturalist.org/photos/652846455,cc-by,https://creativecommons.org/licenses/by/4.0/,"Acropora palmata [Acropora palmata] — Ryan McMinds / iNaturalist, CC-BY (https://creativecommons.org/licenses/by/4.0/); source: https://www.inaturalist.org/photos/652846455. Original attribution: (c) Ryan McMinds, some rights reserved (CC BY). Resized and re-encoded; no subject alteration."
Adansonia digitata,アフリカバオバブ,no rights reserved,iNaturalist,https://www.inaturalist.org/photos/110770618,cc0,https://creativecommons.org/publicdomain/zero/1.0/,"Adansonia digitata [Adansonia digitata] — no rights reserved / iNaturalist, CC0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/110770618. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Aedes aegypti,ネッタイシマカ,no rights reserved,iNaturalist,https://www.inaturalist.org/photos/27141847,cc0,https://creativecommons.org/publicdomain/zero/1.0/,"Aedes aegypti [Aedes aegypti] — no rights reserved / iNaturalist, CC0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/27141847. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Agalychnis callidryas,アカメアマガエル,no rights reserved,iNaturalist,https://www.inaturalist.org/photos/390989400,cc0,https://creativecommons.org/publicdomain/zero/1.0/,"Agalychnis callidryas [Agalychnis callidryas] — no rights reserved / iNaturalist, CC0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/390989400. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
Agaricus bisporus,マッシュルーム,Jerzy Opioła,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Agaricus_bisporus_G4.JPG,cc-by-sa,https://creativecommons.org/licenses/by-sa/3.0,"Agaricus bisporus G4 [Agaricus bisporus] — Jerzy Opioła / Wikimedia Commons, CC-BY-SA (https://creativecommons.org/licenses/by-sa/3.0); source: https://commons.wikimedia.org/wiki/File:Agaricus_bisporus_G4.JPG. Original attribution: Own work. Resized and re-encoded; no subject alteration."
Ailuropoda melanoleuca,ジャイアントパンダ,no rights reserved,iNaturalist,https://www.inaturalist.org/photos/351209004,cc0,https://creativecommons.org/publicdomain/zero/1.0/,"Ailuropoda melanoleuca [Ailuropoda melanoleuca] — no rights reserved / iNaturalist, CC0 (https://creativecommons.org/publicdomain/zero/1.0/); source: https://www.inaturalist.org/photos/351209004. Original attribution: no rights reserved. Resized and re-encoded; no subject alteration."
